Tt,CT,Fatigue
0,30,232
0,30,235
0,30,235
0,30,241
0,30,225
0,30,245
0,30,255
0,30,245
0,30,275
0,30,239
0,30,255
60,30,397
60,30,419
60,30,401
60,30,394
60,30,426
60,30,426
60,30,454
60,30,418
60,30,416
60,30,395
60,30,433
60,30,379
60,30,382
60,30,385
60,30,365
60,30,379
60,30,377
60,30,394
60,30,425
60,30,395
60,30,393
60,30,375
60,30,389
60,30,358
60,30,344
60,30,369
60,30,325
60,30,338
60,30,362
60,30,361
60,30,385
60,30,348
60,30,368
60,30,341
60,30,365
60,30,325
60,30,513
60,30,448
60,30,465
60,30,446
60,30,437
60,30,502
60,30,465
60,30,475
60,30,504
60,30,486
60,30,452
60,30,459
60,30,415
60,30,437
60,30,415
60,30,401
60,30,463
60,30,442
60,30,438
60,30,468
60,30,452
60,30,422
60,30,413
60,30,395
60,30,398
60,30,378
60,30,372
60,30,415
60,30,396
60,30,388
60,30,415
60,30,398
60,30,382
60,30,523
60,30,534
60,30,489
60,30,500
60,30,495
60,30,522
60,30,531
60,30,533
60,30,492
60,30,505
60,30,541
60,30,468
60,30,459
60,30,444
60,30,458
60,30,445
60,30,464
60,30,466
60,30,486
60,30,461
60,30,464
60,30,475
60,30,419
60,30,418
60,30,402
60,30,398
60,30,411
60,30,428
60,30,415
60,30,425
60,30,412
60,30,410
60,30,415
60,30,582
60,30,524
60,30,583
60,30,569
60,30,536
60,30,577
60,30,565
60,30,562
60,30,522
60,30,504
60,30,516
60,30,517
60,30,511
60,30,518
60,30,524
60,30,503
60,30,483
60,30,457
60,30,482
60,30,470
60,30,459
60,30,490
60,30,485
60,30,483
60,30,587
60,30,571
60,30,578
60,30,526
60,30,535
60,30,572
60,30,562
60,30,563
60,30,583
60,30,585
60,30,592
60,30,573
60,30,536
60,30,557
60,30,552
60,30,519
60,30,524
60,30,508
60,30,490
60,30,550
60,30,515
60,30,530
60,30,546
60,30,535
60,30,550
60,30,542
60,30,592
60,30,524
60,30,497
60,30,491
60,30,463
60,30,464
60,30,459
60,30,489
60,30,477
60,30,469
60,30,496
60,30,467
60,30,511
60,30,490
60,30,523
60,30,476
60,30,610
60,30,581
60,30,625
60,30,562
60,30,635
60,30,566
60,30,638
60,30,606
60,30,582
60,30,634
60,30,585
60,30,603
60,30,625
60,30,631
60,30,625
60,30,551
60,30,539
60,30,564
60,30,550
60,30,590
60,30,527
60,30,557
60,30,551
60,30,583
60,30,570
60,30,543
60,30,543
60,30,563
60,30,577
60,30,578
60,30,490
60,30,496
60,30,511
60,30,494
60,30,517
60,30,480
60,30,502
60,30,504
60,30,505
60,30,502
60,30,496
60,30,501
60,30,517
60,30,523
60,30,516
60,30,486
60,30,427
60,30,510
60,30,451
60,30,425
60,30,432
60,30,482
60,30,435
60,30,406
60,30,470
60,30,438
60,30,404
60,30,406
60,30,443
60,30,397
60,30,385
60,30,425
60,30,396
60,30,380
60,30,363
60,30,398
60,30,505
60,30,536
60,30,484
60,30,495
60,30,551
60,30,477
60,30,530
60,30,516
60,30,445
60,30,551
60,30,510
60,30,443
60,30,449
60,30,502
60,30,451
60,30,459
60,30,497
60,30,451
60,30,497
60,30,461
60,30,399
60,30,502
60,30,490
60,30,424
60,30,411
60,30,448
60,30,404
60,30,411
60,30,438
60,30,410
60,30,450
60,30,410
60,30,383
60,30,460
60,30,442
60,30,399
60,30,563
60,30,530
60,30,570
60,30,578
60,30,537
60,30,569
60,30,576
60,30,549
60,30,522
60,30,570
60,30,510
60,30,510
60,30,517
60,30,540
60,30,518
60,30,523
60,30,537
60,30,536
60,30,503
60,30,540
60,30,490
60,30,477
60,30,483
60,30,503
60,30,471
60,30,476
60,30,502
60,30,496
60,30,471
60,30,497
60,30,591
60,30,590
60,30,606
60,30,584
60,30,604
60,30,591
60,30,588
60,30,588
60,30,550
60,30,609
60,30,604
60,30,619
60,30,643
60,30,569
60,30,551
60,30,543
60,30,543
60,30,524
60,30,571
60,30,542
60,30,531
60,30,531
60,30,512
60,30,563
60,30,550
60,30,583
60,30,583
60,30,550
60,30,482
60,30,482
60,30,490
60,30,476
60,30,483
60,30,480
60,30,491
60,30,471
60,30,469
60,30,490
60,30,483
60,30,498
60,30,491
60,30,463
60,30,600
60,30,615
60,30,607
60,30,596
60,30,618
60,30,585
60,30,551
60,30,556
60,30,550
60,30,537
60,30,543
60,30,543
60,30,471
60,30,476
60,30,482
60,30,477
60,30,491
60,30,479
60,30,781
60,30,698
60,30,906
60,30,740
60,30,678
60,30,770
60,30,794
60,30,855
60,30,768
60,30,745
60,30,707
60,30,718
60,30,874
60,30,829
60,30,700
60,30,806
60,30,720
60,30,688
120,930,1034
120,930,1139
120,930,1002
120,930,1056
120,930,1124
120,930,1082
120,930,1054
120,930,1190
120,930,935
120,930,1037
120,930,1110
120,930,1035
120,930,927
120,930,976
120,930,986
120,930,956
120,930,946
120,930,1089
120,930,960
120,930,1033
120,930,1080
120,930,924
120,930,1009
120,930,1053
120,930,854
120,930,1086
120,930,889
120,930,884
120,930,1057
120,930,900
120,930,876
120,930,1068
120,930,838
120,930,873
120,930,1120
120,930,898
120,930,1074
120,930,1006
120,930,858
120,930,1144
120,930,1028
120,930,948
120,930,1080
120,930,1030
120,930,957
120,930,1104
120,930,1008
120,930,882
